Date,Close
17/12/24,6050.61
16/12/24,6074.08
13/12/24,6051.09
12/12/24,6051.25
11/12/24,6084.19
10/12/24,6034.91
9/12/24,6052.85
6/12/24,6090.27
5/12/24,6075.11
4/12/24,6086.49
3/12/24,6049.88
2/12/24,6047.15
29/11/24,6032.38
27/11/24,5998.74
26/11/24,6021.63
25/11/24,5987.37
22/11/24,5969.34
21/11/24,5948.71
20/11/24,5917.11
19/11/24,5916.98
18/11/24,5893.62
15/11/24,5870.62
14/11/24,5949.17
13/11/24,5985.38
12/11/24,5983.99
11/11/24,6001.35
8/11/24,5995.54
7/11/24,5973.1
6/11/24,5929.04
5/11/24,5782.76
4/11/24,5712.69
1/11/24,5728.8
31/10/24,5705.45
30/10/24,5813.67
29/10/24,5832.92
28/10/24,5823.52
25/10/24,5808.12
24/10/24,5809.86
23/10/24,5797.42
22/10/24,5851.2
21/10/24,5853.98
18/10/24,5864.67
17/10/24,5841.47
16/10/24,5842.47
15/10/24,5815.26
14/10/24,5859.85
11/10/24,5815.03
10/10/24,5780.05
9/10/24,5792.04
8/10/24,5751.13
7/10/24,5695.94
4/10/24,5751.07
3/10/24,5699.94
2/10/24,5709.54
1/10/24,5708.75
30/09/24,5762.48
27/09/24,5738.17
26/09/24,5745.37
25/09/24,5722.26
24/09/24,5732.93
23/09/24,5718.57
20/09/24,5702.55
19/09/24,5713.64
18/09/24,5618.26
17/09/24,5634.58
16/09/24,5633.09
13/09/24,5626.02
12/9/24,5595.76
11/9/24,5554.13
10/9/24,5495.52
9/9/24,5471.05
6/9/24,5408.42
5/9/24,5503.41
4/9/24,5520.07
3/9/24,5528.93
30/08/24,5648.4
29/08/24,5591.96
28/08/24,5592.18
27/08/24,5625.8
26/08/24,5616.84
23/08/24,5634.61
22/08/24,5570.64
21/08/24,5620.85
20/08/24,5597.12
19/08/24,5608.25
16/08/24,5554.25
15/08/24,5543.22
14/08/24,5455.21
13/08/24,5434.43
12/8/24,5344.39
9/8/24,5344.16
8/8/24,5319.31
7/8/24,5199.5
6/8/24,5240.03
5/8/24,5186.33
2/8/24,5346.56
1/8/24,5446.68
31/07/24,5522.3
30/07/24,5436.44
29/07/24,5463.54
26/07/24,5459.1
25/07/24,5399.22
24/07/24,5427.13
23/07/24,5555.74
22/07/24,5564.41
19/07/24,5505
18/07/24,5544.59
17/07/24,5588.27
16/07/24,5667.2
15/07/24,5631.22
12/7/24,5615.35
11/7/24,5584.54
10/7/24,5633.91
9/7/24,5576.98
8/7/24,5572.85
5/7/24,5567.19
3/7/24,5537.02
2/7/24,5509.01
1/7/24,5475.09
28/06/24,5460.48
27/06/24,5482.87
26/06/24,5477.9
25/06/24,5469.3
24/06/24,5447.87
21/06/24,5464.62
20/06/24,5473.17
18/06/24,5487.03
17/06/24,5473.23
14/06/24,5431.6
13/06/24,5433.74
12/6/24,5421.03
11/6/24,5375.32
10/6/24,5360.79
7/6/24,5346.99
6/6/24,5352.96
5/6/24,5354.03
4/6/24,5291.34
3/6/24,5283.4
31/05/24,5277.51
30/05/24,5235.48
29/05/24,5266.95
28/05/24,5306.04
24/05/24,5304.72
23/05/24,5267.84
22/05/24,5307.01
21/05/24,5321.41
20/05/24,5308.13
17/05/24,5303.27
16/05/24,5297.1
15/05/24,5308.15
14/05/24,5246.68
13/05/24,5221.42
10/5/24,5222.68
9/5/24,5214.08
8/5/24,5187.67
7/5/24,5187.7
6/5/24,5180.74
3/5/24,5127.79
2/5/24,5064.2
1/5/24,5018.39
30/04/24,5035.69
29/04/24,5116.17
26/04/24,5099.96
25/04/24,5048.42
24/04/24,5071.63
23/04/24,5070.55
22/04/24,5010.6
19/04/24,4967.23
18/04/24,5011.12
17/04/24,5022.21
16/04/24,5051.41
15/04/24,5061.82
12/4/24,5123.41
11/4/24,5199.06
10/4/24,5160.64
9/4/24,5209.91
8/4/24,5202.39
5/4/24,5204.34
4/4/24,5147.21
3/4/24,5211.49
2/4/24,5205.81
1/4/24,5243.77
28/03/24,5254.35
27/03/24,5248.49
26/03/24,5203.58
25/03/24,5218.19
22/03/24,5234.18
21/03/24,5241.53
20/03/24,5224.62
19/03/24,5178.51
18/03/24,5149.42
15/03/24,5117.09
14/03/24,5150.48
13/03/24,5165.31
12/3/24,5175.27
11/3/24,5117.94
8/3/24,5123.69
7/3/24,5157.36
6/3/24,5104.76
5/3/24,5078.65
4/3/24,5130.95
1/3/24,5137.08
29/02/24,5096.27
28/02/24,5069.76
27/02/24,5078.18
26/02/24,5069.53
23/02/24,5088.8
22/02/24,5087.03
21/02/24,4981.8
20/02/24,4975.51
16/02/24,5005.57
15/02/24,5029.73
14/02/24,5000.62
13/02/24,4953.17
12/2/24,5021.84
9/2/24,5026.61
8/2/24,4997.91
7/2/24,4995.06
6/2/24,4954.23
5/2/24,4942.81
2/2/24,4958.61
1/2/24,4906.19
31/01/24,4845.65
30/01/24,4924.97
29/01/24,4927.93
26/01/24,4890.97
25/01/24,4894.16
24/01/24,4868.55
23/01/24,4864.6
22/01/24,4850.43
19/01/24,4839.81
18/01/24,4780.94
17/01/24,4739.21
16/01/24,4765.98
12/1/24,4783.83
11/1/24,4780.24
10/1/24,4783.45
9/1/24,4756.5
8/1/24,4763.54
5/1/24,4697.24
4/1/24,4688.68
3/1/24,4704.81
2/1/24,4742.83
29/12/23,4769.83
28/12/23,4783.35
27/12/23,4781.58
26/12/23,4774.75
22/12/23,4754.63
21/12/23,4746.75
20/12/23,4698.35
19/12/23,4768.37
18/12/23,4740.56
15/12/23,4719.19
14/12/23,4719.55
13/12/23,4707.09
12/12/23,4643.7
11/12/23,4622.44
8/12/23,4604.37
